Rxn_ID,pXRD,Esc_vial site,Amine,Desired In-organic [M],Desired Organic [M],Solvent,Actual In-organic [M],Actual Organic [M],Solvent vol (uL),Anti-Solvent vol (uL),FAH (uL),Image capture interval (Sec),Rxn capturing time,CIF,Crystal score,Humidity/Temp,Rxn.Specifications,Images location,Diffusion data Location ((Lower_meniscus)),Crystal growth data location,Crystal height data location (Lower_meniscus),Liquid_height_and_crystal_start_Old_wrong,Diffusion_height_2,Diffusion_height_3
MA_333_1,done,A1,aep,0.5,0.75,DMF,0.6,0.71,180,800,20,60,22,ajn21-002,4,https://drive.google.com/file/d/1HoGHPVEBnGF69SfN1MRQLCDMNcwQe2KL/view?usp=sharing,https://drive.google.com/drive/folders/1u0y7K83QNuSipCbZ1S8_lVk_H_G02lHw?usp=sharing,https://drive.google.com/drive/folders/1UDXo_KQmNK2xCY5GeO_ryXBdKr2TtLxk?usp=sharing,https://docs.google.com/spreadsheets/d/15hvLXY0FlnH5s-2Q3zKKMDQqNcn5DnmVjPq7ocrAvQY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1n8niqG8vTiMRcuhzzM6tabviQAh_PQQsB06klTu9Oi8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1XnHqtNR0Sf1nUZJ6ntskrQ_W3spnCGLUG2vc-Wlln08/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1RBiqPfiEV11FrS0cymFXvtuk65xR83jlkM1ThjwPHyk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1edatwos9glSOLqiUueyZgc0TlzmBC8RJ5TCZ2FpWTCo/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1LHAvTOYQjTVIuK3U_VXsWIvUzclu2CeKiC0EtypJV2U/edit?usp=sharing
MA_333_2,NA,C1,aep,0.5,0.75,DMSO,0.54,0.69,180,800,20,60,29,,1,https://drive.google.com/file/d/1EdPWXdRMXrh6tsZ8nLj9R9MFxz2HLHv7/view?usp=sharing,https://drive.google.com/drive/folders/1u0y7K83QNuSipCbZ1S8_lVk_H_G02lHw?usp=sharing,https://drive.google.com/drive/folders/1Yo6pgcU6YGyTCwEd9LtDnxDMrfGZe6Qw?usp=sharing,https://docs.google.com/spreadsheets/d/1vc5OpOf07EdlZKxTLKe7rQL3Sg1eEAUoC78ssIc2QbA/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1PimAo2od5yKo_NZZCg0RbNohLqVjTa3HByfmofpIES8/edit#gid=677608698,https://docs.google.com/spreadsheets/d/1P3OKf0gnZOJ-T3UTuljTAsrVCTM4w_ImdGwWAYA1mfM/edit?usp=sharing,https://docs.google.com/spreadsheets/d/16fdRQ7yFhQah_KofjV-qQHTrbFhfW1HTx9qGmHYDcC0/edit?usp=sharing
MA_333_3,done,E1,aep,0.5,0.75,DMF:DMSO,0.52,0.66,180,800,20,60,23,ajn19-021/ajn21-002,4,https://drive.google.com/file/d/1Af2wC-3sjoNcJ4G4eOP6mmdE4ywM85yM/view?usp=sharing,https://drive.google.com/drive/folders/1u0y7K83QNuSipCbZ1S8_lVk_H_G02lHw?usp=sharing,https://drive.google.com/drive/folders/1Wo7EDBPSYkpcKjKI5ssZJObPnY3jrXkx?usp=sharing,https://docs.google.com/spreadsheets/d/1YLqYgJE97wcRLcRBCDu6Z_-pI7TemFHpqSZ9Y5otWrI/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1MXmCo0xaToDc26DufAkv_GWyIyp1UlHiWebdvVaPWcw/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1ACgsNkpyLJa6P6e64fRfrCUShhaGTd4pzp9m3OKMpZQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1l7DdywQRU1mfeWDifeyWIqQCtbsEVvb5fGR5Sd-wG7M/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1qAuw_kcFywnjf0EVfvg6dB2nQfbS3AMPHMf31IrRvHk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/13HygwFisCdk6aT-6xVNk4TigJceK6OpTp4WdB6_7NzI/edit?usp=sharing
MA_333_4,done,G1,aep,0.5,0.75,GBL:DMF,0.49,0.66,180,800,20,60,15,ajn19-021,4,https://drive.google.com/file/d/1Af2wC-3sjoNcJ4G4eOP6mmdE4ywM85yM/view?usp=sharing,https://drive.google.com/drive/folders/1u0y7K83QNuSipCbZ1S8_lVk_H_G02lHw?usp=sharing,https://drive.google.com/drive/folders/1YQB7ilS3JI9t38MZxDDZCF3gDAgXdU6X?usp=sharing,https://docs.google.com/spreadsheets/d/1vA5I9rnL0f4StbzEKiAJkqnVgesko20rBb0KccM5XeM/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1tIuFQ98jtTJ5Scps-9x3WGzEzlvQsu9D6WVLqoUfEqk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1489LQH1QC63q3u_vU78ndAKdNzUIax0kDQU_K9UDyXE/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1VW5Dhq-CcC9Jrx06aLbv-C1g-va7bedk46jYcYrCpwY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1BM2cSe5BNeOUkt1-Jtf4xOBdgfZ4pUvIZf7h2iviczM/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1oqD6aAiY8RhDgqjOf3RlA_k0Nbk75-WjQWFeboieBeM/edit?usp=sharing
MA_336_4,done,A1,chma,0.5,0.75,GBL,0.49,0.77,180,800,20,60,22,ajn19-016,4,https://drive.google.com/file/d/1LvTtWTwS9dEqWm3NvRPlVJftHUt6058R/view?usp=sharing,https://drive.google.com/drive/folders/1LfsxvyMQEl0o8zoDwIcGmK3SLVRna7zz?usp=sharing,https://drive.google.com/drive/folders/1NEax3xkjHSLoToyCBpzr1h88xNdWseHb?usp=sharing,https://docs.google.com/spreadsheets/d/1UQZdM--njwZNuLyPELewBOe4tNR8HmkLDsn-xHDGU1U/edit?usp=sharing,https://drive.google.com/file/d/1Aa4n6PFKgiH1BgSbfBzgBUvxN_rcGrLK/view?usp=sharing,https://docs.google.com/spreadsheets/d/1SyqU2e6-19JHZdt_O9x_hUeNM_Yxz4Hq7R5qBIwBGRs/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1FVNspAO06oUxrVnaytvGasaXlz9b4nXvDvr0UUIglOk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1zrL4WuMfSthalmlFxxYS-BY802yCmOoDNizFVpSKOtU/edit?usp=sharing,https://docs.google.com/spreadsheets/d/10z7ieIip0qU2fjGRnfgqryruHu6t2XsTEYItjglUSCo/edit?usp=sharing
MA_336_5,NA,C1,chma,0.5,0.75,DMF,0.5,0.73,180,800,20,60,22,,1,https://drive.google.com/file/d/1LvTtWTwS9dEqWm3NvRPlVJftHUt6058R/view?usp=sharing,https://drive.google.com/drive/folders/1LfsxvyMQEl0o8zoDwIcGmK3SLVRna7zz?usp=sharing,https://drive.google.com/drive/folders/1uq28gZ7zBwLzj88TE-W6-gLwDpDAdKhi?usp=sharing,https://docs.google.com/spreadsheets/d/11j4gpHhI1-xY4Z9RwKp-kXoy5pjN4YZfVFrgUocHLSE/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1hiNVzyBTw6gRChpnO-_rUSxDNgYPZwrZAag11b0KFkM/edit#gid=1902316142,https://docs.google.com/spreadsheets/d/1Dr6YxTFjkDZigz7VSvXa-N9jatPui6NxvyrezTskUq0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1iZy59_KmDbUzDhC1YOQCiSJVJxQwk4UCa8gw7tKwaGE/edit?usp=sharing
MA_336_6,NA,E1,chma,0.5,0.75,DMSO,0.51,0.73,180,800,20,60,22,,1,https://drive.google.com/file/d/1boTuw4IUra7SaEyOT0fxZWSBEpxOMJ5i/view?usp=sharing,https://drive.google.com/drive/folders/1LfsxvyMQEl0o8zoDwIcGmK3SLVRna7zz?usp=sharing,https://drive.google.com/drive/folders/1iC3WRcybuSxwNI_c1Jx0ZGOVGi8IXrUH?usp=sharing,https://docs.google.com/spreadsheets/d/1e8b9z_cXQ6cqsPmkUwS84lr6GVWqp9yynjHRNMNK-iA/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1w6xBO4p01V-tt7lvsrRaZDw677-6zEr4jo6sDWK_AIA/edit#gid=1284419790,https://docs.google.com/spreadsheets/d/14QQ06_moepFw-F2Eua-0IgnrXryvFtJNTKMQfew9ogQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1d_KC_EkakT8mAohCXFoTXbMZO9ELXesGJTLyAvdPqe8/edit?usp=sharing
MA_336_7,NA,G1,chma,0.5,0.75,DMF:DMSO,0.54,0.73,180,800,20,60,24,,1,https://drive.google.com/file/d/15AawN0jLT5T8QBK_gGNCDlk9vZ5Gn6KD/view?usp=sharing,https://drive.google.com/drive/folders/1LfsxvyMQEl0o8zoDwIcGmK3SLVRna7zz?usp=sharing,https://drive.google.com/drive/folders/1SIfngVLV5khj3Lc3slP9FSrWC_5dcFLx?usp=sharing,https://docs.google.com/spreadsheets/d/1FFQnY44eQHXG4dxfhSg_VjK6TmKudM1j-EL9EGWYUAA/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1-g1YeWT60vU1e0_uuURTu4rp-MtHzPqm694kWrboHhs/edit#gid=260577772,https://docs.google.com/spreadsheets/d/1-K1KQ2zmyb0Kfq8E9i6T2i_bPYdKL6bbjKHBibxWehQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1rwEcFuI5_Mh0ztSf3tXrbWeohobPpFMvyC518K76xrw/edit?usp=sharing
MA_336_8,NA,A3,chma,0.5,0.75,GBL:DMF,0.47,0.73,180,800,20,60,24,,1,https://drive.google.com/file/d/1bC6ShToLj9u4Wr7LUyHPZXYqwrgzNdWW/view?usp=sharing,https://drive.google.com/drive/folders/1LfsxvyMQEl0o8zoDwIcGmK3SLVRna7zz?usp=sharing,https://drive.google.com/drive/folders/1lWJrG2zzcOcV8EdVfIh1_nmnJE9Zs1ek?usp=sharing,https://docs.google.com/spreadsheets/d/15dhrdESVFR1CZLyqRQeBc6h1LDEYusHGKfbmOyAKDPY/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1wZa0sZIr4gC6cjpwuzbcOclZEN7gyKe-UIGK1vkRIFs/edit#gid=2093662539,https://docs.google.com/spreadsheets/d/1X801z57aF5ymBe4F4Eodf19BZPinaC5UjqF-UpvW044/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1kySdoaaIJLDUkCPc7ePFxly16JJH_EQFT8m6NX6ae8c/edit?usp=sharing
MA_350_1,done,A1,acet,0.5,0.75,GBL,0.5,0.75,180,800,20,60,18,man101.1,4,https://drive.google.com/file/d/1-dr83ecfA9r6BSuZijxt8ZSkoa5j_W0M/view?usp=sharing,https://drive.google.com/drive/folders/1Kpkykrm07JaAUIIk1wG0mQ7OUQ1Rpd4D?usp=sharing,https://drive.google.com/drive/folders/1ZRtuGSxRqamWq1dHdkubIwD7S_ip2ShV?usp=sharing,https://docs.google.com/spreadsheets/d/1QVggT7Mli6H-o37pZK7VIrXcpBquu0YjRwFGpRH8P1I/edit?usp=sharing,https://docs.google.com/spreadsheets/d/13w2hMqemUepkM5Mdy_OFuFRKimO4FF9muJCb_CIZc9g/edit?usp=sharing,https://docs.google.com/spreadsheets/d/13w2hMqemUepkM5Mdy_OFuFRKimO4FF9muJCb_CIZc9g/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1fCuBLhgAQmTTAuxwLJNR9xZ4s9ozhTc7aKVO19GAODw/edit?usp=sharing,https://docs.google.com/spreadsheets/d/16UA5fMGnedjhV23PPX6yTY_lXDbCK1kewJbQzOrwMbc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1_8d4lfYnWz36XK4uZxe9z69C6yMESyZppcxciUIf34g/edit?usp=sharing
MA_350_2,NA,C1,acet,0.5,0.75,DMF,0.52,0.76,180,800,20,60,22,,1,https://drive.google.com/file/d/1xtKPvIZ_b0EVnTH5-MAie37bIIQcG9Ka/view?usp=sharing,https://drive.google.com/drive/folders/1Kpkykrm07JaAUIIk1wG0mQ7OUQ1Rpd4D?usp=sharing,https://drive.google.com/drive/folders/1Qg93rJ04KL7uOVsko2E1g8W92GsqrXGt?usp=sharing,https://docs.google.com/spreadsheets/d/1I8Zi9xzlzWYGHtVdLEpM5gwqUMbzl28QXjVtE-fIy0w/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1sjF91OGUYgQ656GaGX1dCqynMerxSRx3eA0kOsqScdQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1zKBVFjMgXF74ZeR0L76v_3-3u9Yy5wiixGpcYb1DU-w/edit?usp=sharing,https://docs.google.com/spreadsheets/d/12QMxKwivUvQb-bv1QNTjborWq-ExJUTawy-BpkHBi44/edit?usp=sharing
MA_350_3,NA,E1,acet,0.5,0.75,DMSO,0.5,0.78,180,800,20,60,25,,1,https://drive.google.com/file/d/17PKLWgMDY82pdOJVeJajeYpolyd_anyN/view?usp=sharing,https://drive.google.com/drive/folders/1Kpkykrm07JaAUIIk1wG0mQ7OUQ1Rpd4D?usp=sharing,https://drive.google.com/drive/folders/164U0tJ4Fl6LXpK0bbHng31DYnOO97T2j?usp=sharing,https://docs.google.com/spreadsheets/d/1t3fckz6a7Qiyoer2Bdjf_sH308MILrMXXynKNwxGbY8/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1MIrj9KdK6u7yqAdWq6hO-JQKCjf2KU1x2Se48B1TjpQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Gng_pY4IupEvrSTlRzkKC0vmbEQoGc2gUzKRUirlUwY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1KUqPsSIqTPPE0-uSsMgHstbIHg5DmvUEMMq3B-tHtzU/edit?usp=sharing
MA_350_4,NA,G1,acet,0.5,0.75,DMF:DMSO,0.48,0.73,180,800,20,60,25,,1,https://drive.google.com/file/d/1biJKTl8_8QxxZDkf2hOWeCd6YlEUscgw/view?usp=sharing,https://drive.google.com/drive/folders/1Kpkykrm07JaAUIIk1wG0mQ7OUQ1Rpd4D?usp=sharing,https://drive.google.com/drive/folders/1AOonFmDyU3oYPAv9zwgf0AVYKc_TD4ZW?usp=sharing,https://docs.google.com/spreadsheets/d/18qdIOsnWYKmNh_3bIeRSDEQcKAkckO5Z_py4dEtT-Ek/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/10NO36VkPQ2Y88e_zp8wOKCJTlzBHh6xLj-Tt4clxB1I/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1PTLzH5YIMP74itRchJIsrjl_ho2b48s_OqhR-D2UrO8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1CfNTQ90XD-BvrJAV8IpQIQw8CkWWCOHD-V2IsMvMecc/edit?usp=sharing
MA_350_5,done,A3,acet,0.5,0.75,GBL:DMF,0.51,0.79,180,800,20,60,18,man101.1,4,https://drive.google.com/file/d/1U4RapqJvCVJXp1t3r5xQj6dHGZrf-NoZ/view?usp=sharing,https://drive.google.com/drive/folders/1Kpkykrm07JaAUIIk1wG0mQ7OUQ1Rpd4D?usp=sharing,https://drive.google.com/drive/folders/1nEgRZ9j5HZunzGn6VKy8qr7A9w553RI4?usp=sharing,https://docs.google.com/spreadsheets/d/1XSkt8ljPQ6TEFIBGQvv2KfyuR7HT9Z49KmeIseRTIPc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1OkW_KmicVFwA6MFy9gYzHtF_zeLUzkljybtJOi3_ujY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1OkW_KmicVFwA6MFy9gYzHtF_zeLUzkljybtJOi3_ujY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1bvd5E85gYhztqOXF82hqA4ex-ZoOrHCHVW8lDd_cV0A/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1pOYiesZiC9Av1BP8SarZPVEU2CbOkqM5oZf_Wv-K8hQ/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1DRohhl3kY1xAXewwIIWLUd_2E8vgxcfjHaewM1CuPy0/edit?usp=sharing
MA_351_1,done,A1,ea,0.5,0.75,GBL,0.51,0.75,180,800,20,60,19,966419,4,https://drive.google.com/file/d/1-dr83ecfA9r6BSuZijxt8ZSkoa5j_W0M/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1LgPhJRopVuPPfFftaWWzwbRydj3ySZZA?usp=sharing,https://docs.google.com/spreadsheets/d/1YNqaJNhWXKyeJYJq6TYKCrrlVqBuN6HPkDoecPojjKk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1HQ8XkxoQd8X2LxpDFXWrfpCV9KZFnMWG6FDJ8RCAqYc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1HQ8XkxoQd8X2LxpDFXWrfpCV9KZFnMWG6FDJ8RCAqYc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1MAiJ9II3Oh65AnQeHGlDN_RsrJwnPQXfGOJ33PDAOJc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1z7J1vBgTCWoHB4TVHTSTN_5EFSPJ1tmgXnR1KUo6yDw/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Y6HAoC15FJc3rmZY1RKwLiW55qgPRu7rd7dV7O6B6lE/edit?usp=sharing
MA_351_2,NA,C1,ea,0.5,0.75,DMF,0.52,0.75,180,800,20,60,25,,1,https://drive.google.com/file/d/1T8vUwYDeo2ex4Ys6TbB8n0cAyEq2URAY/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1wyXD4ekUtGIauRimew2roPrqy7DRZYR6?usp=sharing,https://docs.google.com/spreadsheets/d/1w4tDpwFhTsqDNSx8qWNf6kABFghdFbODeSeZD4B7rb8/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/10BzWTnthmjIOWi-JzhRKiYMp0Qxy4r475MyBlc_KJMk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1mS1O0kRiqK4_2ERjv93vGPRlrBsURrfeUxO21g__7k8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/14Oyr0fAVjAMkrox7LqaRPn3bOm-Wpno83eIXQh3GbNc/edit?usp=sharing
MA_351_3,NA,E1,ea,0.5,0.75,DMSO,0.51,0.76,180,800,20,60,25,,1,https://drive.google.com/file/d/12-4sDguH_nxV8FmTo7ROUVct3zNR6wj1/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1Oznzh2ozG0XlnbNqAkn20t48S4X-Ltvx?usp=sharing,https://docs.google.com/spreadsheets/d/1bnNUUfeKKZJZRfONqvNESzJngmTGVoOy8JYB6rMBYcY/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1PW9-Zb75E4bSQ59GZ6zfIc-bRYaM__iSSLIfd8T8F5I/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1GCRhS0GKG6iLUlu112ecsHZy3K_l3tkFAPIW0e6AOpU/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1cXxjztvNlzZ4woC_JZkbL4nqYscsEJueHLWieb3oifY/edit?usp=sharing
MA_351_4,NA,G1,ea,0.5,0.75,DMF:DMSO,0.51,0.76,180,800,20,60,25,,1,https://drive.google.com/file/d/1ReauuNJgyy0_XjEf_kRFjbHf-ERJ4IOW/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1-ivFW4rXWS4VQ-cZl4BjJK5320YHzmwJ?usp=sharing,https://docs.google.com/spreadsheets/d/1BebgRM-MCJ7ICtLE0oiZEkmpU47_5cZi6wKiM5fV_qI/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/1vG1Qt87XJYLjqjrR-DWDQxvBBLAwoHcSevJxxrlJ9Ms/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1BghWX706v4TuPbh3mC8bzJ27FPrQ2h09u0CAFu3V-wc/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1wV9nAIqdtnCEWh6Fa3oZ-SBNVL7Ukh84djm7VTeKlVU/edit?usp=sharing
MA_385_2,NA,A3,ea,0.5,0.75,GBL:DMF,0.55,0.75,180,800,20,60,40,,1,https://drive.google.com/file/d/1akf_A3rvygw8Yx5U60nU24YN7UeK7xBp/view?usp=sharing,https://drive.google.com/drive/folders/1BkjkMxT8CaMAru8DDLx2OvWiEQtfgziR?usp=sharing,https://drive.google.com/drive/folders/1DOpHSoCMQkqWwgIiRy7lvvbJvukmAYk_?usp=sharing,https://docs.google.com/spreadsheets/d/12gStVcXMmH-kqvcCDA9TkaaDikqc_Y8RApHE6iaG3Zw/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1yRXlGOqGfZaR6a1FjI6dO-BxCjvKGEkBatX1slQxBSA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1yRXlGOqGfZaR6a1FjI6dO-BxCjvKGEkBatX1slQxBSA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1dYZCOlB72fOnvr-9qrVGgPyBb0Rx_RzI8CPj7NBMmL8/edit?usp=sharing,https://docs.google.com/spreadsheets/d/10NoCtdi3j0a1hnufxcY1dudmeKjKnunb9dsMu9Oach0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1lXETO4YasbRH49W3DhFlipU57eTh20XMsSzGXUod8dI/edit?usp=sharing
MA_354_1,done,A1,ma,0.5,0.75,GBL,0.52,0.75,180,800,20,60,19,194996,4,https://drive.google.com/file/d/1Oy6L2Lzm5Il8iz5PHPFkvohYvmb4zqnz/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1qe6A2K24SgOeuE59QN0DXPLe4DEe_MXm?usp=sharing,https://docs.google.com/spreadsheets/d/1MaHEizDztGrHPUz2Txn-XmRF1L6xpCWJm7M5F6kqzPo/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1UwOp4Xz7mzONj1wY_fGiTEQ1NkQ6Y7V0x1dlOQ_b8wY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1UwOp4Xz7mzONj1wY_fGiTEQ1NkQ6Y7V0x1dlOQ_b8wY/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1F10aBn0_wdIISPzyYv2wIx_iKB3h_5HxrTHnEPQumek/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1RPQXGgkLYdFr4MecxPiFWOXRt4VxOhUlkO8Yx8OgZwk/edit?usp=sharing,https://docs.google.com/spreadsheets/d/146T0G7pj3fdMIio0aIojWx7rT-GqVILDwKNrunMRd54/edit?usp=sharing
MA_354_2,done,C1,ma,0.5,0.75,DMF,0.5,0.74,180,800,20,60,19,1469899,4,https://drive.google.com/file/d/1gbOhjX2inSfGFnih0ACSE3ZubG0_u4eo/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1b4IsicPrSowZpkk9d-TpNymf5m3fBOI7?usp=sharing,https://docs.google.com/spreadsheets/d/1WTS07eh8xmvsGhlQb2rv8pPBmsHkh8F5SBUhN-NjZr4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1xg2GPfEct7xZEkiaHLHUDoCtAywB_cfTlI7Uw9l0TqA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1xg2GPfEct7xZEkiaHLHUDoCtAywB_cfTlI7Uw9l0TqA/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1LxQicsBoSUxm8yq2T3NscAyCWlJpuDGKljh5cQ9yvN0/edit?usp=sharing,https://docs.google.com/spreadsheets/d/10V5KBbbk8V-7ucv0nGyqlObMhQ-Rvy2MsUuuiDuqHf4/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Iq6o1-FpYArzUQ2k9CQffDwvQbKHWCURpRG1-rYNcNo/edit?usp=sharing
MA_354_3,NA,E1,ma,0.5,0.75,DMSO,0.5,0.76,180,800,20,60,26,,1,https://drive.google.com/file/d/1_ZRIfc1SY9g5t_0g_gdByo-s6yZGGxYc/view?usp=sharing,https://drive.google.com/drive/folders/1fUPEgoJdbzdMy8l0Tf29H8SRdBjvMAhl?usp=sharing,https://drive.google.com/drive/folders/1nr40zG_pUaz_OmQC0Zrp9UM3i8iSmmcw?usp=sharing,https://docs.google.com/spreadsheets/d/1ibtCam2sWT-VV9VMblRWY2AvVytXS3qT_19xeAEvqeg/edit?usp=sharing,,,https://docs.google.com/spreadsheets/d/12xR0gFvwaH1WH7lXxcd0P1JwhugsWyfil70wVSFI8_Y/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1lYjpdhtSEuXlRvU72FW3hVhsBXDxWAi90bwmayI9lWg/edit?usp=sharing,https://docs.google.com/spreadsheets/d/1Y2QXmEBAyRLtpwi0GPxPfQskDfG8yQ0yNQroeyFWiBI/edit?usp=sharing
