,name,amine,solvent,_rxn_M_inorganic,_feat_organic_0_donsitecount_std,_feat_organic_0_carboringcount_std,_feat_organic_0_molpol_std,_rxn_mixingtime2_s,_feat_organic_0_aromaticatomcount_std,_feat_organic_0_asa-_std,_feat_organic_0_fr_amidine,_rxn_stirrate_rpm,_feat_organic_0_fr_nh1,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_carboaromaticringcount_std,_feat_organic_0_largestringsize_std,_rxn_M_acid,_feat_organic_0_chainatomcount_std,_feat_organic_0_fr_nh2,_rxn_M_organic,_feat_organic_0_atomcount_c_std,_feat_organic_0_ringatomcount_std,_feat_organic_0_fr_quatn,_feat_organic_0_heteroaliphaticringcount_std,_feat_organic_0_atomcount_n_std,_rxn_reactiontime_s,_feat_organic_0_bondcount_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_asa+_std,_feat_organic_0_carboaliphaticringcount_std,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_aromaticringcount_std,_feat_organic_0_asa_std,_feat_organic_0_vanderwaalsvolume_std,_feat_organic_0_accsitecount_std,_feat_organic_0_smallestringsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_aliphaticatomcount_std,_feat_organic_0_aliphaticringcount_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_cyclomaticnumber_std,_out_crystalscore,0D,1D,2D,3D,inorganic_connectivity,dD (MPa_),dP (MPa_),dH (MPa_)
10362,2020-06-22T14_21_59.590476+00_00_HC_A1,chma,GBL,0.088740631,3,1,14.37,1200,0,52.34,0,500,0,1,0,6,0.530089072,2,0,0.139809625,7,6,1,0,1,57600,24,4.78,213.57,1,14.74,46.96,0,265.92,133.35,0,6,28.32,8,1,3.7,1,4,0,0,1,0,2D,18,16.6,7.4
10363,2020-06-22T14_21_59.590476+00_00_HC_C1,chma,DMF,0.099623276,3,1,14.37,1200,0,52.34,0,500,0,1,0,6,0.530089072,2,0,0.14456597,7,6,1,0,1,57600,24,4.78,213.57,1,14.74,46.96,0,265.92,133.35,0,6,28.32,8,1,3.7,1,1,0,0,0,0,NA,17.4,13.7,11.3
10364,2020-06-22T14_21_59.590476+00_00_HC_E1,chma,DMSO,0.09230693,3,1,14.37,1200,0,52.34,0,500,0,1,0,6,0.530089072,2,0,0.132795363,7,6,1,0,1,57600,24,4.78,213.57,1,14.74,46.96,0,265.92,133.35,0,6,28.32,8,1,3.7,1,1,0,0,0,0,NA,18.4,16.4,10.2
10365,2020-06-22T14_21_59.590476+00_00_HC_G1,chma,DMF:DMSO,0.101131386,3,1,14.37,1200,0,52.34,0,500,0,1,0,6,0.530089072,2,0,0.138003094,7,6,1,0,1,57600,24,4.78,213.57,1,14.74,46.96,0,265.92,133.35,0,6,28.32,8,1,3.7,1,1,0,0,0,0,NA,17.9,15.05,10.75
10366,2020-06-22T14_21_59.590476+00_00_HC_A3,chma,GBL:DMF,0.08947266,3,1,14.37,1200,0,52.34,0,500,0,1,0,6,0.530089072,2,0,0.137963367,7,6,1,0,1,57600,24,4.78,213.57,1,14.74,46.96,0,265.92,133.35,0,6,28.32,8,1,3.7,1,1,0,0,0,0,NA,17.7,15.15,9.35
10367,2020-06-22T17_03_40.423248+00_00_HC_A1,aep,DMF,0.109181468,4,0,13.98,1200,0,22.98,0,500,1,2,0,5,0.530089072,3,0,0.129552195,6,5,2,1,2,57600,24,5.03,258.43,0,14.6,57.79,0,281.41,131.49,0,5,25.85,8,1,3.23,1,4,1,0,0,0,0D,17.4,13.7,11.3
10368,2020-06-22T17_03_40.423248+00_00_HC_C1,aep,DMSO,0.099423306,4,0,13.98,1200,0,22.98,0,500,1,2,0,5,0.530089072,3,0,0.126709853,6,5,2,1,2,57600,24,5.03,258.43,0,14.6,57.79,0,281.41,131.49,0,5,25.85,8,1,3.23,1,1,0,0,0,0,NA,18.4,16.4,10.2
10369,2020-06-22T17_03_40.423248+00_00_HC_E1,aep,DMF:DMSO,0.095188555,4,0,13.98,1200,0,22.98,0,500,1,2,0,5,0.530089072,3,0,0.120519355,6,5,2,1,2,57600,24,5.03,258.43,0,14.6,57.79,0,281.41,131.49,0,5,25.85,8,1,3.23,1,4,1,0,1,0,0D and 2D,17.9,15.05,10.75
10370,2020-06-22T17_03_40.423248+00_00_HC_G1,aep,GBL:DMF,0.088425028,4,0,13.98,1200,0,22.98,0,500,1,2,0,5,0.530089072,3,0,0.120800326,6,5,2,1,2,57600,24,5.03,258.43,0,14.6,57.79,0,281.41,131.49,0,5,25.85,8,1,3.23,1,4,0,0,1,0,2D,17.7,15.15,9.35
10371,2020-06-26T13_48_04.144007+00_00_HC_A1,ea,GBL,0.095027991,3,0,5.88,1200,0,61.53,0,500,0,0,0,0,0.530089072,3,0,0.138986512,2,0,1,0,1,57600,10,3.3,154.04,0,6.09,25.96,0,215.57,59.49,0,0,17.09,3,0,2.59,0,4,0,1,0,0,1D,18,16.6,7.4
10372,2020-06-26T13_48_04.144007+00_00_HC_C1,ea,DMF,0.096788258,3,0,5.88,1200,0,61.53,0,500,0,0,0,0,0.530089072,3,0,0.138880607,2,0,1,0,1,57600,10,3.3,154.04,0,6.09,25.96,0,215.57,59.49,0,0,17.09,3,0,2.59,0,1,0,0,0,0,NA,17.4,13.7,11.3
10373,2020-06-26T13_48_04.144007+00_00_HC_E1,ea,DMSO,0.093837797,3,0,5.88,1200,0,61.53,0,500,0,0,0,0,0.530089072,3,0,0.13977016,2,0,1,0,1,57600,10,3.3,154.04,0,6.09,25.96,0,215.57,59.49,0,0,17.09,3,0,2.59,0,1,0,0,0,0,NA,18.4,16.4,10.2
10374,2020-06-26T13_48_04.144007+00_00_HC_G1,ea,DMF:DMSO,0.09282755,3,0,5.88,1200,0,61.53,0,500,0,0,0,0,0.530089072,3,0,0.138429021,2,0,1,0,1,57600,10,3.3,154.04,0,6.09,25.96,0,215.57,59.49,0,0,17.09,3,0,2.59,0,1,0,0,0,0,NA,17.9,15.05,10.75
10375,2020-06-26T13_48_04.144007+00_00_HC_A3,ea,GBL:DMF,0.100257222,3,0,5.88,1200,0,61.53,0,500,0,0,0,0,0.530089072,3,0,0.136584463,2,0,1,0,1,57600,10,3.3,154.04,0,6.09,25.96,0,215.57,59.49,0,0,17.09,3,0,2.59,0,1,0,0,0,0,NA,17.7,15.15,9.35
10376,2020-06-26T15_05_30.850680+00_00_HC_A1,ma,GBL,0.096786952,3,0,4.04,1200,0,54.52,0,500,0,0,0,0,0.530089072,2,0,0.139180332,1,0,1,0,1,57600,7,2.67,136.92,0,4.23,21.21,0,191.44,42.58,0,0,13.88,2,0,2.33,0,4,0,0,0,1,3D,18,16.6,7.4
10377,2020-06-26T15_05_30.850680+00_00_HC_C1,ma,DMF,0.093125308,3,0,4.04,1200,0,54.52,0,500,0,0,0,0,0.530089072,2,0,0.135944872,1,0,1,0,1,57600,7,2.67,136.92,0,4.23,21.21,0,191.44,42.58,0,0,13.88,2,0,2.33,0,4,0,1,0,0,1D,17.4,13.7,11.3
10378,2020-06-26T15_05_30.850680+00_00_HC_E1,ma,DMSO,0.091835391,3,0,4.04,1200,0,54.52,0,500,0,0,0,0,0.530089072,2,0,0.139635834,1,0,1,0,1,57600,7,2.67,136.92,0,4.23,21.21,0,191.44,42.58,0,0,13.88,2,0,2.33,0,1,0,0,0,0,NA,18.4,16.4,10.2
10379,2020-06-26T15_05_30.850680+00_00_HC_G1,ma,DMF:DMSO,0.095379301,3,0,4.04,1200,0,54.52,0,500,0,0,0,0,0.530089072,2,0,0.132979891,1,0,1,0,1,57600,7,2.67,136.92,0,4.23,21.21,0,191.44,42.58,0,0,13.88,2,0,2.33,0,1,0,0,0,0,NA,17.9,15.05,10.75
10380,2020-06-26T15_05_30.850680+00_00_HC_A3,ma,GBL:DMF,0.092626206,3,0,4.04,1200,0,54.52,0,500,0,0,0,0,0.530089072,2,0,0.143503973,1,0,1,0,1,57600,7,2.67,136.92,0,4.23,21.21,0,191.44,42.58,0,0,13.88,2,0,2.33,0,4,0,1,0,0,1D,17.7,15.15,9.35
10381,2020-07-06T15_27_13.995342+00_00_HC_A1,"1,3-dap",DMF,0.088765737,6,0,9.18,1200,0,43.22,0,500,0,2,0,0,0.530089072,5,0,0.133826595,3,0,2,0,2,57600,16,4.51,197.61,0,9.74,45.32,0,240.84,90.86,0,0,19.68,5,0,2.89,0,1,0,0,0,0,NA,17.4,13.7,11.3
10382,2020-07-06T15_27_13.995342+00_00_HC_C1,"1,3-dap",DMSO,0.093305608,6,0,9.18,1200,0,43.22,0,500,0,2,0,0,0.530089072,5,0,0.134890486,3,0,2,0,2,57600,16,4.51,197.61,0,9.74,45.32,0,240.84,90.86,0,0,19.68,5,0,2.89,0,1,0,0,0,0,NA,18.4,16.4,10.2
10383,2020-07-06T15_27_13.995342+00_00_HC_E1,"1,3-dap",DMF:DMSO,0.088383656,6,0,9.18,1200,0,43.22,0,500,0,2,0,0,0.530089072,5,0,0.132658805,3,0,2,0,2,57600,16,4.51,197.61,0,9.74,45.32,0,240.84,90.86,0,0,19.68,5,0,2.89,0,1,0,0,0,0,NA,17.9,15.05,10.75
10384,2020-07-06T15_27_13.995342+00_00_HC_G1,"1,3-dap",GBL:DMF,0.086466245,6,0,9.18,1200,0,43.22,0,500,0,2,0,0,0.530089072,5,0,0.133960675,3,0,2,0,2,57600,16,4.51,197.61,0,9.74,45.32,0,240.84,90.86,0,0,19.68,5,0,2.89,0,4,0,0,0,0,NA,17.7,15.15,9.35
10385,2020-07-06T16_12_50.344926+00_00_HC_A1,dabz,DMF,0.093697847,6,1,13.2,1200,6,0,0,500,0,0,1,6,0.530089072,2,0,0.133036063,6,6,2,0,2,57600,18,4.46,256.81,0,12.61,55.92,1,256.81,110.43,0,6,22.02,2,0,3.5,1,4,0,1,0,0,1D,17.4,13.7,11.3
10386,2020-07-06T16_12_50.344926+00_00_HC_C1,dabz,DMSO,0.102937393,6,1,13.2,1200,6,0,0,500,0,0,1,6,0.530089072,2,0,0.131133326,6,6,2,0,2,57600,18,4.46,256.81,0,12.61,55.92,1,256.81,110.43,0,6,22.02,2,0,3.5,1,1,0,0,0,0,NA,18.4,16.4,10.2
10387,2020-07-06T16_12_50.344926+00_00_HC_E1,dabz,DMF:DMSO,0.097999694,4,0,11.03,1200,0,46.05,0,500,1,2,0,0,0.530089072,6,0,0.139878666,4,0,2,0,2,57600,19,4.55,229.29,0,11.57,50.25,0,275.35,109.27,0,0,22.95,6,0,3.13,0,3,0,1,0,0,1D,17.9,15.05,10.75
10388,2020-07-06T16_12_50.344926+00_00_HC_G1,dabz,GBL:DMF,0.09073088,4,0,11.03,1200,0,46.05,0,500,1,2,0,0,0.530089072,6,0,0.13679959,4,0,2,0,2,57600,19,4.55,229.29,0,11.57,50.25,0,275.35,109.27,0,0,22.95,6,0,3.13,0,4,0,1,0,0,1D,17.7,15.15,9.35
10389,2020-07-08T14_08_51.487577+00_00_HC_A1,dedap,GBL,0.0920415,4,0,16.56,1200,0,73.58,0,500,1,5,0,0,0.530089072,9,0,0.139084289,7,0,2,0,2,57600,28,5.42,285.85,0,17.53,64.61,0,359.43,160.34,0,0,34.16,9,0,4.32,0,4,1,0,0,0,0D,18,16.6,7.4
10390,2020-07-08T14_08_51.487577+00_00_HC_C1,dedap,DMF,0.092035595,4,0,16.56,1200,0,73.58,0,500,1,5,0,0,0.530089072,9,0,0.130510358,7,0,2,0,2,57600,28,5.42,285.85,0,17.53,64.61,0,359.43,160.34,0,0,34.16,9,0,4.32,0,1,0,0,0,0,NA,17.4,13.7,11.3
10391,2020-07-08T14_08_51.487577+00_00_HC_E1,dedap,DMSO,0.099592174,4,0,16.56,1200,0,73.58,0,500,1,5,0,0,0.530089072,9,0,0.135237079,7,0,2,0,2,57600,28,5.42,285.85,0,17.53,64.61,0,359.43,160.34,0,0,34.16,9,0,4.32,0,1,0,0,0,0,NA,18.4,16.4,10.2
10392,2020-07-08T14_08_51.487577+00_00_HC_G1,dedap,DMF:DMSO,0.09414239,4,0,16.56,1200,0,73.58,0,500,1,5,0,0,0.530089072,9,0,0.131268009,7,0,2,0,2,57600,28,5.42,285.85,0,17.53,64.61,0,359.43,160.34,0,0,34.16,9,0,4.32,0,1,0,0,0,0,NA,17.9,15.05,10.75
10393,2020-07-08T14_08_51.487577+00_00_HC_A3,dedap,GBL:DMF,0.09414239,4,0,16.56,1200,0,73.58,0,500,1,5,0,0,0.530089072,9,0,0.131268009,7,0,2,0,2,57600,28,5.42,285.85,0,17.53,64.61,0,359.43,160.34,0,0,34.16,9,0,4.32,0,4,1,0,0,0,0D,17.7,15.15,9.35
10394,2020-11-25T22_28_56.039621+00_00_HC_A1,acet,GBL,0.096353491,4,0,6.57,1200,0,39.44,1,500,0,0,0,0,0.530089072,4,2,0.144107072,2,0,0,0,2,57600,10,3.23,172.93,0,6.58,27.86,0,212.36,62.84,1,0,17.01,4,0,3.14,0,4,0,1,0,0,1D,18,16.6,7.4
10395,2020-11-25T22_28_56.039621+00_00_HC_C1,acet,DMF,0.09894457,4,0,6.57,1200,0,39.44,1,500,0,0,0,0,0.530089072,4,2,0.146822829,2,0,0,0,2,57600,10,3.23,172.93,0,6.58,27.86,0,212.36,62.84,1,0,17.01,4,0,3.14,0,1,0,0,0,0,NA,17.4,13.7,11.3
10396,2020-11-25T22_28_56.039621+00_00_HC_E1,acet,DMSO,0.096626859,4,0,6.57,1200,0,39.44,1,500,0,0,0,0,0.530089072,4,2,0.149363956,2,0,0,0,2,57600,10,3.23,172.93,0,6.58,27.86,0,212.36,62.84,1,0,17.01,4,0,3.14,0,1,0,0,0,0,NA,18.4,16.4,10.2
10397,2020-11-25T22_28_56.039621+00_00_HC_G1,acet,DMF:DMSO,0.093596237,4,0,6.57,1200,0,39.44,1,500,0,0,0,0,0.530089072,4,2,0.141064143,2,0,0,0,2,57600,10,3.23,172.93,0,6.58,27.86,0,212.36,62.84,1,0,17.01,4,0,3.14,0,1,0,0,0,0,NA,17.9,15.05,10.75
10398,2020-11-25T22_28_56.039621+00_00_HC_A3,acet,GBL:DMF,0.097064637,4,0,6.57,1200,0,39.44,1,500,0,0,0,0,0.530089072,4,2,0.151245731,2,0,0,0,2,57600,10,3.23,172.93,0,6.58,27.86,0,212.36,62.84,1,0,17.01,4,0,3.14,0,4,0,1,0,0,1D,17.7,15.15,9.35
10399,2020-11-25T23_09_35.145018+00_00_HC_A1,dmed,DMF,0.091314467,4,0,11.03,1200,0,46.05,0,500,1,2,0,0,0.530089072,6,0,0.131548948,4,0,2,0,2,57600,19,4.55,229.29,0,11.57,50.25,0,275.35,109.27,0,0,22.95,6,0,3.13,0,4,1,0,0,0,0D,17.4,13.7,11.3
10400,2020-11-25T23_09_35.145018+00_00_HC_C1,dmed,DMSO,0.095388898,4,0,11.03,1200,0,46.05,0,500,1,2,0,0,0.530089072,6,0,0.13279165,4,0,2,0,2,57600,19,4.55,229.29,0,11.57,50.25,0,275.35,109.27,0,0,22.95,6,0,3.13,0,4,0,1,0,0,1D,18.4,16.4,10.2
10401,2020-11-25T23_09_35.145018+00_00_HC_E1,dmed,DMF:DMSO,0.091302053,4,0,11.03,1200,0,46.05,0,500,1,2,0,0,0.530089072,6,0,0.132288696,4,0,2,0,2,57600,19,4.55,229.29,0,11.57,50.25,0,275.35,109.27,0,0,22.95,6,0,3.13,0,3,0,1,0,0,1D,17.9,15.05,10.75
10402,2020-11-25T23_09_35.145018+00_00_HC_G1,dmed,GBL:DMF,0.095575894,4,0,11.03,1200,0,46.05,0,500,1,2,0,0,0.530089072,6,0,0.134250625,4,0,2,0,2,57600,19,4.55,229.29,0,11.57,50.25,0,275.35,109.27,0,0,22.95,6,0,3.13,0,4,1,0,0,0,0D,17.7,15.15,9.35
10403,2020-11-30T18_12_22.108199+00_00_HC_A1,phenea,GBL,0.095447447,3,1,15.43,1200,6,86.4,0,500,0,2,1,6,0.530089072,3,0,0.137658971,8,6,1,0,1,57600,21,5.03,218.15,0,14.69,50.58,1,304.55,130.2,0,6,24.96,3,0,3.37,1,4,0,0,1,0,2D,18,16.6,7.4
10404,2020-11-30T18_12_22.108199+00_00_HC_C1,phenea,DMF,0.092031804,3,1,15.43,1200,6,86.4,0,500,0,2,1,6,0.530089072,3,0,0.13758517,8,6,1,0,1,57600,21,5.03,218.15,0,14.69,50.58,1,304.55,130.2,0,6,24.96,3,0,3.37,1,1,0,0,0,0,NA,17.4,13.7,11.3
10405,2020-11-30T18_12_22.108199+00_00_HC_E1,phenea,DMSO,0.091916969,3,1,15.43,1200,6,86.4,0,500,0,2,1,6,0.530089072,3,0,0.137036761,8,6,1,0,1,57600,21,5.03,218.15,0,14.69,50.58,1,304.55,130.2,0,6,24.96,3,0,3.37,1,1,0,0,0,0,NA,18.4,16.4,10.2
10406,2020-11-30T18_12_22.108199+00_00_HC_G1,phenea,DMF:DMSO,0.093166965,3,1,15.43,1200,6,86.4,0,500,0,2,1,6,0.530089072,3,0,0.137055244,8,6,1,0,1,57600,21,5.03,218.15,0,14.69,50.58,1,304.55,130.2,0,6,24.96,3,0,3.37,1,1,0,0,0,0,NA,17.9,15.05,10.75
10407,2020-11-30T18_12_22.108199+00_00_HC_A3,phenea,GBL:DMF,0.091963484,3,1,15.43,1200,6,86.4,0,500,0,2,1,6,0.530089072,3,0,0.137126586,8,6,1,0,1,57600,21,5.03,218.15,0,14.69,50.58,1,304.55,130.2,0,6,24.96,3,0,3.37,1,1,0,0,0,0,NA,17.7,15.15,9.35